"country","Date","case_type","value"
"Bangladesh",2020-03-22,"Deaths",2
"Bangladesh",2020-03-22,"Recovered",3
"Bangladesh",2020-03-23,"Active Cases",27
"Bangladesh",2020-03-23,"Total Cases",33
"Bangladesh",2020-03-23,"Deaths",3
"Bangladesh",2020-03-23,"Recovered",3
"Bangladesh",2020-03-24,"Active Cases",30
"Bangladesh",2020-03-24,"Total Cases",39
"Bangladesh",2020-03-24,"Deaths",4
"Bangladesh",2020-03-24,"Recovered",5
"Bangladesh",2020-03-25,"Active Cases",27
"Bangladesh",2020-03-25,"Total Cases",39
"Bangladesh",2020-03-25,"Deaths",5
"Bangladesh",2020-03-25,"Recovered",7
"Bangladesh",2020-03-26,"Active Cases",28
"Bangladesh",2020-03-26,"Total Cases",44
"Bangladesh",2020-03-26,"Deaths",5
"Bangladesh",2020-03-26,"Recovered",11
"Bangladesh",2020-03-27,"Active Cases",32
"Bangladesh",2020-03-27,"Total Cases",48
"Bangladesh",2020-03-27,"Deaths",5
"Bangladesh",2020-03-27,"Recovered",11
"Bangladesh",2020-03-28,"Active Cases",28
"Bangladesh",2020-03-28,"Total Cases",48
"Bangladesh",2020-03-28,"Deaths",5
"Bangladesh",2020-03-28,"Recovered",15
"Bangladesh",2020-03-29,"Active Cases",28
"Bangladesh",2020-03-29,"Total Cases",48
"Bangladesh",2020-03-29,"Deaths",5
"Bangladesh",2020-03-29,"Recovered",15
"Bangladesh",2020-03-30,"Active Cases",25
"Bangladesh",2020-03-30,"Total Cases",49
"Bangladesh",2020-03-30,"Deaths",5
"Bangladesh",2020-03-30,"Recovered",19
"Bangladesh",2020-03-31,"Active Cases",21
"Bangladesh",2020-03-31,"Total Cases",51
"Bangladesh",2020-03-31,"Deaths",5
"Bangladesh",2020-03-31,"Recovered",25
"Bangladesh",2020-04-01,"Active Cases",23
"Bangladesh",2020-04-01,"Total Cases",54
"Bangladesh",2020-04-01,"Deaths",6
"Bangladesh",2020-04-01,"Recovered",25
"Bangladesh",2020-04-02,"Active Cases",25
"Bangladesh",2020-04-02,"Total Cases",56
"Bangladesh",2020-04-02,"Deaths",6
"Bangladesh",2020-04-02,"Recovered",25
"Bangladesh",2020-04-03,"Active Cases",29
"Bangladesh",2020-04-03,"Total Cases",61
"Bangladesh",2020-04-03,"Deaths",6
"Bangladesh",2020-04-03,"Recovered",26
"Barbados",2020-01-22,"Active Cases",0
"Barbados",2020-01-22,"Total Cases",0
"Barbados",2020-01-22,"Deaths",0
"Barbados",2020-01-22,"Recovered",0
"Barbados",2020-01-23,"Active Cases",0
"Barbados",2020-01-23,"Total Cases",0
"Barbados",2020-01-23,"Deaths",0
"Barbados",2020-01-23,"Recovered",0
"Barbados",2020-01-24,"Active Cases",0
"Barbados",2020-01-24,"Total Cases",0
"Barbados",2020-01-24,"Deaths",0
"Barbados",2020-01-24,"Recovered",0
"Barbados",2020-01-25,"Active Cases",0
"Barbados",2020-01-25,"Total Cases",0
"Barbados",2020-01-25,"Deaths",0
"Barbados",2020-01-25,"Recovered",0
"Barbados",2020-01-26,"Active Cases",0
"Barbados",2020-01-26,"Total Cases",0
"Barbados",2020-01-26,"Deaths",0
"Barbados",2020-01-26,"Recovered",0
"Barbados",2020-01-27,"Active Cases",0
"Barbados",2020-01-27,"Total Cases",0
"Barbados",2020-01-27,"Deaths",0
"Barbados",2020-01-27,"Recovered",0
"Barbados",2020-01-28,"Active Cases",0
"Barbados",2020-01-28,"Total Cases",0
"Barbados",2020-01-28,"Deaths",0
"Barbados",2020-01-28,"Recovered",0
"Barbados",2020-01-29,"Active Cases",0
"Barbados",2020-01-29,"Total Cases",0
"Barbados",2020-01-29,"Deaths",0
"Barbados",2020-01-29,"Recovered",0
"Barbados",2020-01-30,"Active Cases",0
"Barbados",2020-01-30,"Total Cases",0
"Barbados",2020-01-30,"Deaths",0
"Barbados",2020-01-30,"Recovered",0
"Barbados",2020-01-31,"Active Cases",0
"Barbados",2020-01-31,"Total Cases",0
"Barbados",2020-01-31,"Deaths",0
"Barbados",2020-01-31,"Recovered",0
"Barbados",2020-02-01,"Active Cases",0
"Barbados",2020-02-01,"Total Cases",0
"Barbados",2020-02-01,"Deaths",0
"Barbados",2020-02-01,"Recovered",0
"Barbados",2020-02-02,"Active Cases",0
"Barbados",2020-02-02,"Total Cases",0
"Barbados",2020-02-02,"Deaths",0
"Barbados",2020-02-02,"Recovered",0
"Barbados",2020-02-03,"Active Cases",0
"Barbados",2020-02-03,"Total Cases",0
"Barbados",2020-02-03,"Deaths",0
"Barbados",2020-02-03,"Recovered",0
"Barbados",2020-02-04,"Active Cases",0
"Barbados",2020-02-04,"Total Cases",0
"Barbados",2020-02-04,"Deaths",0
"Barbados",2020-02-04,"Recovered",0
"Barbados",2020-02-05,"Active Cases",0
"Barbados",2020-02-05,"Total Cases",0
"Barbados",2020-02-05,"Deaths",0
"Barbados",2020-02-05,"Recovered",0
"Barbados",2020-02-06,"Active Cases",0
"Barbados",2020-02-06,"Total Cases",0
"Barbados",2020-02-06,"Deaths",0
"Barbados",2020-02-06,"Recovered",0
"Barbados",2020-02-07,"Active Cases",0
"Barbados",2020-02-07,"Total Cases",0
"Barbados",2020-02-07,"Deaths",0
"Barbados",2020-02-07,"Recovered",0
"Barbados",2020-02-08,"Active Cases",0
"Barbados",2020-02-08,"Total Cases",0
"Barbados",2020-02-08,"Deaths",0
"Barbados",2020-02-08,"Recovered",0
"Barbados",2020-02-09,"Active Cases",0
"Barbados",2020-02-09,"Total Cases",0
"Barbados",2020-02-09,"Deaths",0
"Barbados",2020-02-09,"Recovered",0
"Barbados",2020-02-10,"Active Cases",0
"Barbados",2020-02-10,"Total Cases",0
"Barbados",2020-02-10,"Deaths",0
"Barbados",2020-02-10,"Recovered",0
"Barbados",2020-02-11,"Active Cases",0
"Barbados",2020-02-11,"Total Cases",0
"Barbados",2020-02-11,"Deaths",0
"Barbados",2020-02-11,"Recovered",0
"Barbados",2020-02-12,"Active Cases",0
"Barbados",2020-02-12,"Total Cases",0
"Barbados",2020-02-12,"Deaths",0
"Barbados",2020-02-12,"Recovered",0
"Barbados",2020-02-13,"Active Cases",0
"Barbados",2020-02-13,"Total Cases",0
"Barbados",2020-02-13,"Deaths",0
"Barbados",2020-02-13,"Recovered",0
"Barbados",2020-02-14,"Active Cases",0
"Barbados",2020-02-14,"Total Cases",0
"Barbados",2020-02-14,"Deaths",0
"Barbados",2020-02-14,"Recovered",0
"Barbados",2020-02-15,"Active Cases",0
"Barbados",2020-02-15,"Total Cases",0
"Barbados",2020-02-15,"Deaths",0
"Barbados",2020-02-15,"Recovered",0
"Barbados",2020-02-16,"Active Cases",0
"Barbados",2020-02-16,"Total Cases",0
"Barbados",2020-02-16,"Deaths",0
"Barbados",2020-02-16,"Recovered",0
"Barbados",2020-02-17,"Active Cases",0
"Barbados",2020-02-17,"Total Cases",0
"Barbados",2020-02-17,"Deaths",0
"Barbados",2020-02-17,"Recovered",0
"Barbados",2020-02-18,"Active Cases",0
"Barbados",2020-02-18,"Total Cases",0
"Barbados",2020-02-18,"Deaths",0
"Barbados",2020-02-18,"Recovered",0
"Barbados",2020-02-19,"Active Cases",0
"Barbados",2020-02-19,"Total Cases",0
"Barbados",2020-02-19,"Deaths",0
"Barbados",2020-02-19,"Recovered",0
"Barbados",2020-02-20,"Active Cases",0
"Barbados",2020-02-20,"Total Cases",0
"Barbados",2020-02-20,"Deaths",0
"Barbados",2020-02-20,"Recovered",0
"Barbados",2020-02-21,"Active Cases",0
"Barbados",2020-02-21,"Total Cases",0
"Barbados",2020-02-21,"Deaths",0
"Barbados",2020-02-21,"Recovered",0
"Barbados",2020-02-22,"Active Cases",0
"Barbados",2020-02-22,"Total Cases",0
"Barbados",2020-02-22,"Deaths",0
"Barbados",2020-02-22,"Recovered",0
"Barbados",2020-02-23,"Active Cases",0
"Barbados",2020-02-23,"Total Cases",0
"Barbados",2020-02-23,"Deaths",0
"Barbados",2020-02-23,"Recovered",0
"Barbados",2020-02-24,"Active Cases",0
"Barbados",2020-02-24,"Total Cases",0
"Barbados",2020-02-24,"Deaths",0
"Barbados",2020-02-24,"Recovered",0
"Barbados",2020-02-25,"Active Cases",0
"Barbados",2020-02-25,"Total Cases",0
"Barbados",2020-02-25,"Deaths",0
"Barbados",2020-02-25,"Recovered",0
"Barbados",2020-02-26,"Active Cases",0
"Barbados",2020-02-26,"Total Cases",0
"Barbados",2020-02-26,"Deaths",0
"Barbados",2020-02-26,"Recovered",0
"Barbados",2020-02-27,"Active Cases",0
"Barbados",2020-02-27,"Total Cases",0
"Barbados",2020-02-27,"Deaths",0
"Barbados",2020-02-27,"Recovered",0
"Barbados",2020-02-28,"Active Cases",0
"Barbados",2020-02-28,"Total Cases",0
"Barbados",2020-02-28,"Deaths",0
"Barbados",2020-02-28,"Recovered",0
"Barbados",2020-02-29,"Active Cases",0
"Barbados",2020-02-29,"Total Cases",0
"Barbados",2020-02-29,"Deaths",0
"Barbados",2020-02-29,"Recovered",0
"Barbados",2020-03-01,"Active Cases",0
"Barbados",2020-03-01,"Total Cases",0
"Barbados",2020-03-01,"Deaths",0
"Barbados",2020-03-01,"Recovered",0
"Barbados",2020-03-02,"Active Cases",0
"Barbados",2020-03-02,"Total Cases",0
"Barbados",2020-03-02,"Deaths",0
"Barbados",2020-03-02,"Recovered",0
"Barbados",2020-03-03,"Active Cases",0
"Barbados",2020-03-03,"Total Cases",0
"Barbados",2020-03-03,"Deaths",0
"Barbados",2020-03-03,"Recovered",0
"Barbados",2020-03-04,"Active Cases",0
"Barbados",2020-03-04,"Total Cases",0
"Barbados",2020-03-04,"Deaths",0
"Barbados",2020-03-04,"Recovered",0
"Barbados",2020-03-05,"Active Cases",0
"Barbados",2020-03-05,"Total Cases",0
"Barbados",2020-03-05,"Deaths",0
"Barbados",2020-03-05,"Recovered",0
"Barbados",2020-03-06,"Active Cases",0
"Barbados",2020-03-06,"Total Cases",0
"Barbados",2020-03-06,"Deaths",0
"Barbados",2020-03-06,"Recovered",0
"Barbados",2020-03-07,"Active Cases",0
"Barbados",2020-03-07,"Total Cases",0
"Barbados",2020-03-07,"Deaths",0
"Barbados",2020-03-07,"Recovered",0
"Barbados",2020-03-08,"Active Cases",0
"Barbados",2020-03-08,"Total Cases",0
"Barbados",2020-03-08,"Deaths",0
"Barbados",2020-03-08,"Recovered",0
"Barbados",2020-03-09,"Active Cases",0
"Barbados",2020-03-09,"Total Cases",0
"Barbados",2020-03-09,"Deaths",0
"Barbados",2020-03-09,"Recovered",0
"Barbados",2020-03-10,"Active Cases",0
"Barbados",2020-03-10,"Total Cases",0
"Barbados",2020-03-10,"Deaths",0
"Barbados",2020-03-10,"Recovered",0
"Barbados",2020-03-11,"Active Cases",0
"Barbados",2020-03-11,"Total Cases",0
"Barbados",2020-03-11,"Deaths",0
"Barbados",2020-03-11,"Recovered",0
"Barbados",2020-03-12,"Active Cases",0
"Barbados",2020-03-12,"Total Cases",0
"Barbados",2020-03-12,"Deaths",0
"Barbados",2020-03-12,"Recovered",0
"Barbados",2020-03-13,"Active Cases",0
"Barbados",2020-03-13,"Total Cases",0
"Barbados",2020-03-13,"Deaths",0
"Barbados",2020-03-13,"Recovered",0
"Barbados",2020-03-14,"Active Cases",0
"Barbados",2020-03-14,"Total Cases",0
"Barbados",2020-03-14,"Deaths",0
"Barbados",2020-03-14,"Recovered",0
"Barbados",2020-03-15,"Active Cases",0
"Barbados",2020-03-15,"Total Cases",0
"Barbados",2020-03-15,"Deaths",0
"Barbados",2020-03-15,"Recovered",0
"Barbados",2020-03-16,"Active Cases",0
"Barbados",2020-03-16,"Total Cases",0
"Barbados",2020-03-16,"Deaths",0
"Barbados",2020-03-16,"Recovered",0
"Barbados",2020-03-17,"Active Cases",2
"Barbados",2020-03-17,"Total Cases",2
"Barbados",2020-03-17,"Deaths",0
"Barbados",2020-03-17,"Recovered",0
"Barbados",2020-03-18,"Active Cases",2
"Barbados",2020-03-18,"Total Cases",2
"Barbados",2020-03-18,"Deaths",0
"Barbados",2020-03-18,"Recovered",0
"Barbados",2020-03-19,"Active Cases",5
"Barbados",2020-03-19,"Total Cases",5
"Barbados",2020-03-19,"Deaths",0
"Barbados",2020-03-19,"Recovered",0
"Barbados",2020-03-20,"Active Cases",5
"Barbados",2020-03-20,"Total Cases",5
"Barbados",2020-03-20,"Deaths",0
"Barbados",2020-03-20,"Recovered",0
"Barbados",2020-03-21,"Active Cases",6
"Barbados",2020-03-21,"Total Cases",6
"Barbados",2020-03-21,"Deaths",0
"Barbados",2020-03-21,"Recovered",0
"Barbados",2020-03-22,"Active Cases",14
"Barbados",2020-03-22,"Total Cases",14
"Barbados",2020-03-22,"Deaths",0
"Barbados",2020-03-22,"Recovered",0
"Barbados",2020-03-23,"Active Cases",17
"Barbados",2020-03-23,"Total Cases",17
"Barbados",2020-03-23,"Deaths",0
"Barbados",2020-03-23,"Recovered",0
"Barbados",2020-03-24,"Active Cases",18
"Barbados",2020-03-24,"Total Cases",18
"Barbados",2020-03-24,"Deaths",0
"Barbados",2020-03-24,"Recovered",0
"Barbados",2020-03-25,"Active Cases",18
"Barbados",2020-03-25,"Total Cases",18
"Barbados",2020-03-25,"Deaths",0
"Barbados",2020-03-25,"Recovered",0
"Barbados",2020-03-26,"Active Cases",18
"Barbados",2020-03-26,"Total Cases",18
"Barbados",2020-03-26,"Deaths",0
"Barbados",2020-03-26,"Recovered",0
"Barbados",2020-03-27,"Active Cases",24
"Barbados",2020-03-27,"Total Cases",24
"Barbados",2020-03-27,"Deaths",0
"Barbados",2020-03-27,"Recovered",0
"Barbados",2020-03-28,"Active Cases",26
"Barbados",2020-03-28,"Total Cases",26
"Barbados",2020-03-28,"Deaths",0
"Barbados",2020-03-28,"Recovered",0
"Barbados",2020-03-29,"Active Cases",33
"Barbados",2020-03-29,"Total Cases",33
"Barbados",2020-03-29,"Deaths",0
"Barbados",2020-03-29,"Recovered",0
"Barbados",2020-03-30,"Active Cases",33
"Barbados",2020-03-30,"Total Cases",33
"Barbados",2020-03-30,"Deaths",0
"Barbados",2020-03-30,"Recovered",0
"Barbados",2020-03-31,"Active Cases",34
"Barbados",2020-03-31,"Total Cases",34
"Barbados",2020-03-31,"Deaths",0
"Barbados",2020-03-31,"Recovered",0
"Barbados",2020-04-01,"Active Cases",34
"Barbados",2020-04-01,"Total Cases",34
"Barbados",2020-04-01,"Deaths",0
"Barbados",2020-04-01,"Recovered",0
"Barbados",2020-04-02,"Active Cases",46
"Barbados",2020-04-02,"Total Cases",46
"Barbados",2020-04-02,"Deaths",0
"Barbados",2020-04-02,"Recovered",0
"Barbados",2020-04-03,"Active Cases",51
"Barbados",2020-04-03,"Total Cases",51
"Barbados",2020-04-03,"Deaths",0
"Barbados",2020-04-03,"Recovered",0
"Belarus",2020-01-22,"Active Cases",0
"Belarus",2020-01-22,"Total Cases",0
"Belarus",2020-01-22,"Deaths",0
"Belarus",2020-01-22,"Recovered",0
"Belarus",2020-01-23,"Active Cases",0
"Belarus",2020-01-23,"Total Cases",0
"Belarus",2020-01-23,"Deaths",0
"Belarus",2020-01-23,"Recovered",0
"Belarus",2020-01-24,"Active Cases",0
"Belarus",2020-01-24,"Total Cases",0
"Belarus",2020-01-24,"Deaths",0
"Belarus",2020-01-24,"Recovered",0
"Belarus",2020-01-25,"Active Cases",0
"Belarus",2020-01-25,"Total Cases",0
"Belarus",2020-01-25,"Deaths",0
"Belarus",2020-01-25,"Recovered",0
"Belarus",2020-01-26,"Active Cases",0
"Belarus",2020-01-26,"Total Cases",0
"Belarus",2020-01-26,"Deaths",0
"Belarus",2020-01-26,"Recovered",0
"Belarus",2020-01-27,"Active Cases",0
"Belarus",2020-01-27,"Total Cases",0
"Belarus",2020-01-27,"Deaths",0
"Belarus",2020-01-27,"Recovered",0
"Belarus",2020-01-28,"Active Cases",0
"Belarus",2020-01-28,"Total Cases",0
"Belarus",2020-01-28,"Deaths",0
"Belarus",2020-01-28,"Recovered",0
"Belarus",2020-01-29,"Active Cases",0
"Belarus",2020-01-29,"Total Cases",0
"Belarus",2020-01-29,"Deaths",0
"Belarus",2020-01-29,"Recovered",0
"Belarus",2020-01-30,"Active Cases",0
"Belarus",2020-01-30,"Total Cases",0
"Belarus",2020-01-30,"Deaths",0
"Belarus",2020-01-30,"Recovered",0
"Belarus",2020-01-31,"Active Cases",0
"Belarus",2020-01-31,"Total Cases",0
"Belarus",2020-01-31,"Deaths",0
"Belarus",2020-01-31,"Recovered",0
"Belarus",2020-02-01,"Active Cases",0
"Belarus",2020-02-01,"Total Cases",0
"Belarus",2020-02-01,"Deaths",0
"Belarus",2020-02-01,"Recovered",0
"Belarus",2020-02-02,"Active Cases",0
"Belarus",2020-02-02,"Total Cases",0
"Belarus",2020-02-02,"Deaths",0
"Belarus",2020-02-02,"Recovered",0
"Belarus",2020-02-03,"Active Cases",0
"Belarus",2020-02-03,"Total Cases",0
"Belarus",2020-02-03,"Deaths",0
"Belarus",2020-02-03,"Recovered",0
"Belarus",2020-02-04,"Active Cases",0
"Belarus",2020-02-04,"Total Cases",0
"Belarus",2020-02-04,"Deaths",0
"Belarus",2020-02-04,"Recovered",0
"Belarus",2020-02-05,"Active Cases",0
"Belarus",2020-02-05,"Total Cases",0
"Belarus",2020-02-05,"Deaths",0
"Belarus",2020-02-05,"Recovered",0
"Belarus",2020-02-06,"Active Cases",0
"Belarus",2020-02-06,"Total Cases",0
"Belarus",2020-02-06,"Deaths",0
"Belarus",2020-02-06,"Recovered",0
"Belarus",2020-02-07,"Active Cases",0
"Belarus",2020-02-07,"Total Cases",0
"Belarus",2020-02-07,"Deaths",0
"Belarus",2020-02-07,"Recovered",0
"Belarus",2020-02-08,"Active Cases",0
"Belarus",2020-02-08,"Total Cases",0
"Belarus",2020-02-08,"Deaths",0
"Belarus",2020-02-08,"Recovered",0
"Belarus",2020-02-09,"Active Cases",0
"Belarus",2020-02-09,"Total Cases",0
"Belarus",2020-02-09,"Deaths",0
"Belarus",2020-02-09,"Recovered",0
"Belarus",2020-02-10,"Active Cases",0
"Belarus",2020-02-10,"Total Cases",0
"Belarus",2020-02-10,"Deaths",0
"Belarus",2020-02-10,"Recovered",0
"Belarus",2020-02-11,"Active Cases",0
"Belarus",2020-02-11,"Total Cases",0
"Belarus",2020-02-11,"Deaths",0
"Belarus",2020-02-11,"Recovered",0
"Belarus",2020-02-12,"Active Cases",0
"Belarus",2020-02-12,"Total Cases",0
"Belarus",2020-02-12,"Deaths",0
"Belarus",2020-02-12,"Recovered",0
"Belarus",2020-02-13,"Active Cases",0
"Belarus",2020-02-13,"Total Cases",0
"Belarus",2020-02-13,"Deaths",0
"Belarus",2020-02-13,"Recovered",0
"Belarus",2020-02-14,"Active Cases",0
"Belarus",2020-02-14,"Total Cases",0
"Belarus",2020-02-14,"Deaths",0
"Belarus",2020-02-14,"Recovered",0
"Belarus",2020-02-15,"Active Cases",0
"Belarus",2020-02-15,"Total Cases",0
"Belarus",2020-02-15,"Deaths",0
"Belarus",2020-02-15,"Recovered",0
"Belarus",2020-02-16,"Active Cases",0
"Belarus",2020-02-16,"Total Cases",0
"Belarus",2020-02-16,"Deaths",0
"Belarus",2020-02-16,"Recovered",0
"Belarus",2020-02-17,"Active Cases",0
"Belarus",2020-02-17,"Total Cases",0
"Belarus",2020-02-17,"Deaths",0
"Belarus",2020-02-17,"Recovered",0
"Belarus",2020-02-18,"Active Cases",0
"Belarus",2020-02-18,"Total Cases",0
"Belarus",2020-02-18,"Deaths",0
"Belarus",2020-02-18,"Recovered",0
"Belarus",2020-02-19,"Active Cases",0
"Belarus",2020-02-19,"Total Cases",0
"Belarus",2020-02-19,"Deaths",0
"Belarus",2020-02-19,"Recovered",0
"Belarus",2020-02-20,"Active Cases",0
"Belarus",2020-02-20,"Total Cases",0
"Belarus",2020-02-20,"Deaths",0
"Belarus",2020-02-20,"Recovered",0
"Belarus",2020-02-21,"Active Cases",0
"Belarus",2020-02-21,"Total Cases",0
"Belarus",2020-02-21,"Deaths",0
"Belarus",2020-02-21,"Recovered",0
"Belarus",2020-02-22,"Active Cases",0
"Belarus",2020-02-22,"Total Cases",0
"Belarus",2020-02-22,"Deaths",0
"Belarus",2020-02-22,"Recovered",0
"Belarus",2020-02-23,"Active Cases",0
"Belarus",2020-02-23,"Total Cases",0
"Belarus",2020-02-23,"Deaths",0
"Belarus",2020-02-23,"Recovered",0
"Belarus",2020-02-24,"Active Cases",0
"Belarus",2020-02-24,"Total Cases",0
"Belarus",2020-02-24,"Deaths",0
"Belarus",2020-02-24,"Recovered",0
"Belarus",2020-02-25,"Active Cases",0
"Belarus",2020-02-25,"Total Cases",0
"Belarus",2020-02-25,"Deaths",0
"Belarus",2020-02-25,"Recovered",0
"Belarus",2020-02-26,"Active Cases",0
"Belarus",2020-02-26,"Total Cases",0
"Belarus",2020-02-26,"Deaths",0
"Belarus",2020-02-26,"Recovered",0
"Belarus",2020-02-27,"Active Cases",0
"Belarus",2020-02-27,"Total Cases",0
"Belarus",2020-02-27,"Deaths",0
"Belarus",2020-02-27,"Recovered",0
"Belarus",2020-02-28,"Active Cases",1
"Belarus",2020-02-28,"Total Cases",1
"Belarus",2020-02-28,"Deaths",0
"Belarus",2020-02-28,"Recovered",0
"Belarus",2020-02-29,"Active Cases",1
"Belarus",2020-02-29,"Total Cases",1
"Belarus",2020-02-29,"Deaths",0
"Belarus",2020-02-29,"Recovered",0
"Belarus",2020-03-01,"Active Cases",1
"Belarus",2020-03-01,"Total Cases",1
"Belarus",2020-03-01,"Deaths",0
"Belarus",2020-03-01,"Recovered",0
"Belarus",2020-03-02,"Active Cases",1
"Belarus",2020-03-02,"Total Cases",1
"Belarus",2020-03-02,"Deaths",0
"Belarus",2020-03-02,"Recovered",0
"Belarus",2020-03-03,"Active Cases",1
"Belarus",2020-03-03,"Total Cases",1
"Belarus",2020-03-03,"Deaths",0
"Belarus",2020-03-03,"Recovered",0
"Belarus",2020-03-04,"Active Cases",6
"Belarus",2020-03-04,"Total Cases",6
"Belarus",2020-03-04,"Deaths",0
"Belarus",2020-03-04,"Recovered",0
"Belarus",2020-03-05,"Active Cases",6
"Belarus",2020-03-05,"Total Cases",6
"Belarus",2020-03-05,"Deaths",0
"Belarus",2020-03-05,"Recovered",0
"Belarus",2020-03-06,"Active Cases",6
"Belarus",2020-03-06,"Total Cases",6
"Belarus",2020-03-06,"Deaths",0
"Belarus",2020-03-06,"Recovered",0
"Belarus",2020-03-07,"Active Cases",6
"Belarus",2020-03-07,"Total Cases",6
"Belarus",2020-03-07,"Deaths",0
"Belarus",2020-03-07,"Recovered",0
"Belarus",2020-03-08,"Active Cases",6
"Belarus",2020-03-08,"Total Cases",6
"Belarus",2020-03-08,"Deaths",0
"Belarus",2020-03-08,"Recovered",0
"Belarus",2020-03-09,"Active Cases",5
"Belarus",2020-03-09,"Total Cases",6
"Belarus",2020-03-09,"Deaths",0
"Belarus",2020-03-09,"Recovered",1
"Belarus",2020-03-10,"Active Cases",6
"Belarus",2020-03-10,"Total Cases",9
"Belarus",2020-03-10,"Deaths",0
"Belarus",2020-03-10,"Recovered",3
"Belarus",2020-03-11,"Active Cases",6
"Belarus",2020-03-11,"Total Cases",9
"Belarus",2020-03-11,"Deaths",0
"Belarus",2020-03-11,"Recovered",3
"Belarus",2020-03-12,"Active Cases",9
"Belarus",2020-03-12,"Total Cases",12
"Belarus",2020-03-12,"Deaths",0
"Belarus",2020-03-12,"Recovered",3
"Belarus",2020-03-13,"Active Cases",24
"Belarus",2020-03-13,"Total Cases",27
"Belarus",2020-03-13,"Deaths",0
"Belarus",2020-03-13,"Recovered",3
"Belarus",2020-03-14,"Active Cases",24
"Belarus",2020-03-14,"Total Cases",27
"Belarus",2020-03-14,"Deaths",0
"Belarus",2020-03-14,"Recovered",3
"Belarus",2020-03-15,"Active Cases",24
"Belarus",2020-03-15,"Total Cases",27
"Belarus",2020-03-15,"Deaths",0
"Belarus",2020-03-15,"Recovered",3
"Belarus",2020-03-16,"Active Cases",33
"Belarus",2020-03-16,"Total Cases",36
"Belarus",2020-03-16,"Deaths",0
"Belarus",2020-03-16,"Recovered",3
"Belarus",2020-03-17,"Active Cases",33
"Belarus",2020-03-17,"Total Cases",36
"Belarus",2020-03-17,"Deaths",0
"Belarus",2020-03-17,"Recovered",3
"Belarus",2020-03-18,"Active Cases",46
"Belarus",2020-03-18,"Total Cases",51
"Belarus",2020-03-18,"Deaths",0
"Belarus",2020-03-18,"Recovered",5
"Belarus",2020-03-19,"Active Cases",46
"Belarus",2020-03-19,"Total Cases",51
"Belarus",2020-03-19,"Deaths",0
"Belarus",2020-03-19,"Recovered",5
"Belarus",2020-03-20,"Active Cases",64
"Belarus",2020-03-20,"Total Cases",69
"Belarus",2020-03-20,"Deaths",0
"Belarus",2020-03-20,"Recovered",5
"Belarus",2020-03-21,"Active Cases",61
"Belarus",2020-03-21,"Total Cases",76
"Belarus",2020-03-21,"Deaths",0
"Belarus",2020-03-21,"Recovered",15
"Belarus",2020-03-22,"Active Cases",61
"Belarus",2020-03-22,"Total Cases",76
"Belarus",2020-03-22,"Deaths",0
"Belarus",2020-03-22,"Recovered",15
"Belarus",2020-03-23,"Active Cases",66
"Belarus",2020-03-23,"Total Cases",81
"Belarus",2020-03-23,"Deaths",0
"Belarus",2020-03-23,"Recovered",15
"Belarus",2020-03-24,"Active Cases",59
"Belarus",2020-03-24,"Total Cases",81
"Belarus",2020-03-24,"Deaths",0
"Belarus",2020-03-24,"Recovered",22
"Belarus",2020-03-25,"Active Cases",57
"Belarus",2020-03-25,"Total Cases",86
"Belarus",2020-03-25,"Deaths",0
"Belarus",2020-03-25,"Recovered",29
"Belarus",2020-03-26,"Active Cases",57
"Belarus",2020-03-26,"Total Cases",86
"Belarus",2020-03-26,"Deaths",0
"Belarus",2020-03-26,"Recovered",29
"Belarus",2020-03-27,"Active Cases",62
"Belarus",2020-03-27,"Total Cases",94
"Belarus",2020-03-27,"Deaths",0
"Belarus",2020-03-27,"Recovered",32
"Belarus",2020-03-28,"Active Cases",62
"Belarus",2020-03-28,"Total Cases",94
"Belarus",2020-03-28,"Deaths",0
"Belarus",2020-03-28,"Recovered",32
"Belarus",2020-03-29,"Active Cases",62
"Belarus",2020-03-29,"Total Cases",94
"Belarus",2020-03-29,"Deaths",0
"Belarus",2020-03-29,"Recovered",32
"Belarus",2020-03-30,"Active Cases",120
"Belarus",2020-03-30,"Total Cases",152
"Belarus",2020-03-30,"Deaths",0
